
2024/11/08 (13:50:08) | ===> btop++ v.1.4.0
2024/11/08 (13:50:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (09:24:00) | ===> btop++ v.1.4.0
2024/11/11 (09:24:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:51:01) | ===> btop++ v.1.4.0
2024/11/11 (17:51:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:53:29) | ===> btop++ v.1.4.0
2024/11/11 (17:53:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:19:42) | ===> btop++ v.1.4.0
2024/11/12 (09:19:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:27:31) | ===> btop++ v.1.4.0
2024/11/12 (09:27:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:29:41) | ===> btop++ v.1.4.0
2024/11/12 (09:29:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:38:00) | ===> btop++ v.1.4.0
2024/11/12 (09:38:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (09:21:40) | ===> btop++ v.1.4.0
2024/11/13 (09:21:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (09:23:33) | ===> btop++ v.1.4.0
2024/11/18 (09:23:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (09:38:55) | ===> btop++ v.1.4.0
2024/11/18 (09:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (09:43:03) | ===> btop++ v.1.4.0
2024/11/19 (09:43:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (09:37:51) | ===> btop++ v.1.4.0
2024/11/20 (09:37:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (09:22:11) | ===> btop++ v.1.4.0
2024/11/21 (09:22:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (17:48:23) | ===> btop++ v.1.4.0
2024/11/21 (17:48:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (09:19:38) | ===> btop++ v.1.4.0
2024/11/22 (09:19:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (09:46:33) | ===> btop++ v.1.4.0
2024/11/25 (09:46:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (11:49:10) | ===> btop++ v.1.4.0
2024/11/25 (11:49:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (09:45:03) | ===> btop++ v.1.4.0
2024/11/26 (09:45:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (09:26:16) | ===> btop++ v.1.4.0
2024/11/27 (09:26:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (09:18:28) | ===> btop++ v.1.4.0
2024/11/28 (09:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (09:23:39) | ===> btop++ v.1.4.0
2024/11/29 (09:23:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (09:20:39) | ===> btop++ v.1.4.0
2024/12/02 (09:20:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (16:08:21) | ===> btop++ v.1.4.0
2024/12/02 (16:08:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:19:05) | ===> btop++ v.1.4.0
2024/12/03 (09:19:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (09:31:23) | ===> btop++ v.1.4.0
2024/12/04 (09:31:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (09:25:20) | ===> btop++ v.1.4.0
2024/12/05 (09:25:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (09:24:57) | ===> btop++ v.1.4.0
2024/12/09 (09:24:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (09:49:40) | ===> btop++ v.1.4.0
2024/12/10 (09:49:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (09:25:45) | ===> btop++ v.1.4.0
2024/12/11 (09:25:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (09:26:43) | ===> btop++ v.1.4.0
2024/12/12 (09:26:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (09:19:42) | ===> btop++ v.1.4.0
2024/12/13 (09:19:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (09:37:23) | ===> btop++ v.1.4.0
2024/12/16 (09:37:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (09:33:31) | ===> btop++ v.1.4.0
2024/12/17 (09:33:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (09:28:29) | ===> btop++ v.1.4.0
2024/12/18 (09:28:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (09:51:12) | ===> btop++ v.1.4.0
2024/12/19 (09:51:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (13:34:35) | ===> btop++ v.1.4.0
2024/12/19 (13:34:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (09:05:47) | ===> btop++ v.1.4.0
2024/12/20 (09:05:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (14:25:29) | ===> btop++ v.1.4.0
2024/12/20 (14:25:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (14:27:59) | ===> btop++ v.1.4.0
2024/12/20 (14:27:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:54:53) | ===> btop++ v.1.4.0
2024/12/28 (12:54:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (09:16:08) | ===> btop++ v.1.4.0
2025/01/07 (09:16:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (11:09:15) | ===> btop++ v.1.4.0
2025/01/07 (11:09:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (09:11:06) | ===> btop++ v.1.4.0
2025/01/08 (09:11:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (09:18:31) | ===> btop++ v.1.4.0
2025/01/09 (09:18:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:07:42) | ===> btop++ v.1.4.0
2025/01/10 (10:07:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:29:37) | ===> btop++ v.1.4.0
2025/01/10 (10:29:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:36:57) | ===> btop++ v.1.4.0
2025/01/10 (10:36:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (09:03:01) | ===> btop++ v.1.4.0
2025/01/13 (09:03:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/13 (16:21:11) | ERROR: Stall in Runner thread, restarting!
2025/01/13 (16:21:37) | ERROR: Stall in Runner thread, restarting!

2025/01/13 (16:22:31) | ===> btop++ v.1.4.0
2025/01/13 (16:22:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (09:21:30) | ===> btop++ v.1.4.0
2025/01/14 (09:21:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/14 (17:10:36) | ERROR: Stall in Runner thread, restarting!

2025/01/15 (09:12:25) | ===> btop++ v.1.4.0
2025/01/15 (09:12:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (09:31:43) | ===> btop++ v.1.4.0
2025/01/16 (09:31:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (10:02:54) | ===> btop++ v.1.4.0
2025/01/17 (10:02:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (09:10:48) | ===> btop++ v.1.4.0
2025/01/20 (09:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:13:04) | ===> btop++ v.1.4.0
2025/01/20 (12:13:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/20 (16:41:36) | ERROR: Stall in Runner thread, restarting!

2025/01/20 (16:44:51) | ===> btop++ v.1.4.0
2025/01/20 (16:44:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (09:09:48) | ===> btop++ v.1.4.0
2025/01/21 (09:09:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (16:15:11) | ===> btop++ v.1.4.0
2025/01/21 (16:15:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (16:19:08) | ===> btop++ v.1.4.0
2025/01/21 (16:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (16:20:08) | ===> btop++ v.1.4.0
2025/01/21 (16:20:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (09:07:44) | ===> btop++ v.1.4.0
2025/01/22 (09:07:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (09:05:39) | ===> btop++ v.1.4.0
2025/01/23 (09:05:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (10:30:35) | ===> btop++ v.1.4.0
2025/01/24 (10:30:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (10:42:04) | ===> btop++ v.1.4.0
2025/01/24 (10:42:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (10:48:31) | ===> btop++ v.1.4.0
2025/01/24 (10:48:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (16:27:39) | ===> btop++ v.1.4.0
2025/01/25 (16:27:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (09:20:48) | ===> btop++ v.1.4.0
2025/01/27 (09:20:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (09:12:53) | ===> btop++ v.1.4.0
2025/01/28 (09:12:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (09:16:09) | ===> btop++ v.1.4.0
2025/01/29 (09:16:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (09:40:04) | ===> btop++ v.1.4.0
2025/01/30 (09:40:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (09:16:42) | ===> btop++ v.1.4.0
2025/01/31 (09:16:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (11:36:43) | ===> btop++ v.1.4.0
2025/01/31 (11:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (09:27:39) | ===> btop++ v.1.4.0
2025/02/03 (09:27:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (09:25:09) | ===> btop++ v.1.4.0
2025/02/04 (09:25:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (09:10:41) | ===> btop++ v.1.4.0
2025/02/05 (09:10:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (09:21:39) | ===> btop++ v.1.4.0
2025/02/06 (09:21:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (09:32:31) | ===> btop++ v.1.4.0
2025/02/07 (09:32:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (17:33:52) | ===> btop++ v.1.4.0
2025/02/07 (17:33:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (09:25:11) | ===> btop++ v.1.4.0
2025/02/10 (09:25:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (09:33:09) | ===> btop++ v.1.4.0
2025/02/11 (09:33:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (09:10:24) | ===> btop++ v.1.4.0
2025/02/12 (09:10:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (09:26:50) | ===> btop++ v.1.4.0
2025/02/13 (09:26:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (09:13:10) | ===> btop++ v.1.4.0
2025/02/14 (09:13:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (14:40:58) | ===> btop++ v.1.4.0
2025/02/14 (14:40:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (09:24:20) | ===> btop++ v.1.4.0
2025/02/17 (09:24:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (16:49:06) | ===> btop++ v.1.4.0
2025/02/17 (16:49:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (09:13:51) | ===> btop++ v.1.4.0
2025/02/18 (09:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (09:08:55) | ===> btop++ v.1.4.0
2025/02/19 (09:08:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (09:44:57) | ===> btop++ v.1.4.0
2025/02/20 (09:44:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (09:20:02) | ===> btop++ v.1.4.0
2025/02/25 (09:20:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (09:03:55) | ===> btop++ v.1.4.0
2025/02/26 (09:03:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (09:12:45) | ===> btop++ v.1.4.0
2025/02/27 (09:12:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (09:01:56) | ===> btop++ v.1.4.0
2025/03/03 (09:01:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (09:21:02) | ===> btop++ v.1.4.0
2025/03/04 (09:21:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (09:34:32) | ===> btop++ v.1.4.0
2025/03/05 (09:34:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (09:23:04) | ===> btop++ v.1.4.0
2025/03/06 (09:23:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (09:09:42) | ===> btop++ v.1.4.0
2025/03/07 (09:09:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (09:16:42) | ===> btop++ v.1.4.0
2025/03/10 (09:16:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (09:58:00) | ===> btop++ v.1.4.0
2025/03/11 (09:58:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (16:17:10) | ===> btop++ v.1.4.0
2025/03/11 (16:17:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (09:19:15) | ===> btop++ v.1.4.0
2025/03/12 (09:19:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (09:29:45) | ===> btop++ v.1.4.0
2025/03/13 (09:29:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (15:55:45) | ===> btop++ v.1.4.0
2025/03/13 (15:55:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/13 (17:38:08) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (17:38:17) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (17:38:34) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (09:21:15) | ===> btop++ v.1.4.0
2025/03/14 (09:21:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (09:10:38) | ===> btop++ v.1.4.0
2025/03/17 (09:10:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (09:13:35) | ===> btop++ v.1.4.0
2025/03/18 (09:13:35) | WARNING: Intel GPU: Failed to initialize PMU
